1,Consomme printaniere royal,,8,8,1897,1927,0.2,0.4
2,Chicken gumbo,,111,117,1895,1960,0.1,0.8
3,Tomato aux croutons,,14,14,1893,1917,0.25,0.4
4,Onion au gratin,,41,41,1900,1971,0.25,1.0
5,St. Emilion,,66,68,1881,1981,0.0,18.0
7,Radishes,,3263,3347,1854,2928,0.0,25.0
8,Chicken soup with rice,,48,49,1897,1961,0.1,0.6
9,Clam broth (cup),,14,16,1899,1962,0.15,0.4
10,"Cream of new asparagus, croutons",,2,2,1900,1900,0.0,0.0
11,Clear green turtle,,156,156,1893,1937,0.25,60.0
12,"Striped bass saute, meuniere",,2,2,1900,1900,0.0,0.0
13,Anchovies,,453,484,1858,1987,0.0,30.0
14,Fresh lobsters in every style,,4,4,1899,1900,0.0,0.0
15,Celery,,4249,4694,1,2928,0.0,50.0
16,Pim-olas,,145,148,1897,1918,0.15,35.0
17,Caviar,,506,535,1880,1987,0.0,75.0
