12463,,HOTEL EASTMAN,BREAKFAST,COMMERCIAL,"HOT SPRINGS, AR",CARD; 4.75X7.5;,EASTER;,"",1900-2822,,,1900-04-15,Hotel Eastman,,,,complete,2,67
12464,"",REPUBLICAN HOUSE,[DINNER],COMMERCIAL,"MILWAUKEE, [WI];",CARD; ILLUS; COL; 7.0X9.0;,EASTER;,"WEDGEWOOD BLUE CARD; WHITE EMBOSSED GREEK KEY BORDER; ""EASTER SUNDAY"" EMBOSSED IN WHITE; VIOLET COLORED SPRAY OF FLOWERS IN UPPER LEFT CORNER;",1900-2825,,,1900-04-15,Republican House,,,,complete,2,34
12465,,NORDDEUTSCHER LLOYD BREMEN,FRUHSTUCK/BREAKFAST;,COMMERCIAL,DAMPFER KAISER WILHELM DER GROSSE;,CARD; ILLU; COL; 5.5X8.0;,"","MENU IN GERMAN AND ENGLISH; ILLUS, STEAMSHIP AND SAILING VESSEL;",1900-2827,,,1900-04-16,Norddeutscher Lloyd Bremen,,,,complete,2,84
12466,"",NORDDEUTSCHER LLOYD BREMEN,LUNCH;,COMMERCIAL,DAMPFER KAISER WILHELM DER GROSSE;,CARD; ILLU; COL; 5.5X8.0;,"","MENU IN GERMAN AND ENGLISH; ILLUS, HARBOR SCENE WITH SAILING VESSEL;",1900-2828,,,1900-04-16,Norddeutscher Lloyd Bremen,,,,complete,2,63
12467,"",NORDDEUTSCHER LLOYD BREMEN,DINNER;,COMMERCIAL,DAMPFER KAISER WILHELM DER GROSSE;,FOLDER; ILLU; COL; 5.5X7.5;,"","MENU IN GERMAN AND ENGLISH; ILLUS, HARBOR SCENE WITH ROCKS AND LIGHTHOUSE; STEAMSHIP AND SAILING VESSELS; CONCERT PROGRAM; DATES:  ON GERMAN SIDE OF MENU ""MONTAG, DEN 16 APRIL 1900""; ON ENGLISH SIDE OF MENU ""MONDAY, APRIL 15TH, 1900"";",1900-2829,,,1900-04-16,Norddeutscher Lloyd Bremen,,,,complete,4,33
12468,,CANADIAN PACIFIC RAILWAY COMPANY,[DINNER],COMMERCIAL,R.M.S. EMPRESS OF CHINA,CARD; ILLUS; COL; 4.75X7.25;,"","ILLUS, RED AND WHITE CHECKERED FLAG;",1900-2831,,,1900-04-16,Canadian Pacific Railway Company,,,,complete,2,37
12469,,HOTEL NETHERLAND,SUPPER,COMMERCIAL,"NEW YORK, [NY];",CARD; ILLUS; COL; 6.0X8.75;,"",HOTEL CREST IN BLUE; PRICED MENU;,1900-2838,,,1900-04-16,Hotel Netherland,,Dollars,$,complete,2,144
12470,"",NORDDEUTSCHER LLOYD BREMEN,FRUHSTUCK/BREAKFAST,COMMERCIAL,SCHNELLDAMPFER KAISER WILHELM DER GROSSE;,BROADSIDE; ILLUS; COL; 5.5X8.50;,"","MENU IN GERMAN AND ENGLISH; ILLUS, LIGHTHOUSE; STEAMSHIP; FISHING DORY;",1900-2839,,,1900-04-17,Norddeutscher Lloyd Bremen,,,,complete,2,80
12471,,NORDDEUTSCHER LLOYD BREMEN,LUNCH,COMMERCIAL,DAMPFER KAISER WILHELM DER GROSSE;,BROADSIDE; ILLUS; COL; 5.5X8.50;,"","MENU IN GERMAN AND ENGLISH; ILLUS, SAILING SHIP/SHEETS FURLED; STEAMSHIP;",1900-2840,,,1900-04-17,Norddeutscher Lloyd Bremen,,,,complete,2,67
12472,,NORDDEUTSCHER LLOYD BREMEN,[DINNER],COMMERCIAL,DAMPFER KAISER WILHELM DER GROSSE;,FOLDER; ILLUS; COL; 5.5X7.5;,"","MENU IN GERMAN AND ENGLISH; ILLUS, HARBOR; LIGHTHOUSE; ROCKS; STEAMSHIP; SAILING SHIPS; CONCERT PROGRAM;",1900-2841,,,1900-04-17,Norddeutscher Lloyd Bremen,,,,complete,4,29
12473,"",HOTEL MARLBOROUGH,CAFE LUNCHEON,COMMERCIAL,"[NEW YORK, NY]",CARD; ILLUS; COL; 4.25X5.5;,"",HOTEL CREST IN BLUE;,1900-2843,,,1900-04-17,Hotel Marlborough,,,,complete,2,19
12474,,ALPHA OF ZETA PSI,ANNUAL BANQUET,COMMERCIAL,"DELMONICO'S, [NEW YORK, NY];",BOOKLET; ILLUS; COL; 5.5X7.0;,"","VELLUM COVER; CREST OF ZETA PSI; TIED WITH BLUE SATIN RIBBON; PRICED WINE LIST; ALPHA CHAPTER OFFICERS; BANQUET COMMITTEE; TOASTS; LYRICS TO ""ZETA PSI, WE PLEDGE TO-NIGHT"" , A POEM, ""THE BADGE OF ZETA PSI""; LYRICS OF ""NEATH THE ARCH OFZETA'S TEMPLE"", AND ",1900-2844,,,1900-04-17,Alpha Of Zeta Psi,,Dollars,$,complete,12,38
12475,"",MANHATTAN HOTEL,DINNER,COMMERCIAL,"NEW YORK, NY",CARD; ILLUS; 6X9.5;,"",A LA CARTE DU JOUR; HOTEL SEAL AT TOP OF MENU;,1900-2847,,,1900-04-18,Manhattan Hotel,,Dollars,$,complete,2,176
12476,,PACIFIC MAIL STEAMSHIP COMPANY,DINNE,COMMERCIAL,"S.S. ""CITY OF PARA""",FOLDER; ILLUS; 6X9.25;,"",DECORATIVE BORDER;,1900-2849,,,1900-04-18,Pacific Mail Steamship Company,,,,complete,4,21
12477,"",OCCIDENTAL & ORIENTAL,BREAKFAST,COMMERCIAL,"S.S. ""DORIC""",BROADSIDE; ILLUS; 5.5X8.5;,"",HANDWRITTEN; STEAMSHIP COMPANY FLAG AT TOP OF MENU;,1900-2851,,,1900-04-18,Occidental & Oriental,,,,complete,2,24
12478,"",,,,,,,,,,,1900-04-18,Occidental & Oriental,,,,complete,2,24
12479,"",OCCIDENTAL & ORIENTAL STEAMSHIP COMPANY,DINNER,COMMERCIAL,"S.S. ""DORIC""",FOLDER; ILLUS; 5.5X8.5;,"",HANDWRITTEN; MARITIME INSIGNIA ON COVER;,1900-2852,,,1900-04-18,Occidental & Oriental Steamship Company,,,,complete,4,44
12480,"",CANADIAN PACIFIC RAILWAY COMPANY,BREAKFAST,COMMERCIAL,"R.M.S. ""EMPRESS OF CHINA""",CARD; ILLUS; COL; 4.5X7;,"",MENU ITEMS NUMBERED; COMPANY FLAG AT TOP OF MENU;,1900-2854,,,1900-04-18,Canadian Pacific Railway Company,,,,complete,2,37
12481,"",CANADIAN PACIFIC RAILWAY COMPANY,LUNCHEON,COMMERCIAL,"R.M.S. ""EMPRESS OF CHINA""",CARD; ILLUS; COL; 4.5X7;,"",MENU ITEMS NUMBERED; COMPANY FLAG AT TOP OF MENU;,1900-2855,,,1900-04-18,Canadian Pacific Railway Company,,,,complete,2,42
12482,"",NOVIOMAGUS,DINNER,"","FREEMASONS' TAVERN, [LONDON, ENGLAND]",CARD; 4.25X6.25;,"",FRENCH; [LOCATION INFO HANDWRITTEN ON BACK OF MENU];,1900-2856,,,1900-04-18,Noviomagus,,,,complete,2,16
12483,"",MANHATTAN HOTEL,CARTE DU JOUR,COMMERCIAL,"NEW YORK, NY",CARD; ILLUS; 6X9.5;,"",A LA CARTE MENU; HOTEL SEAL AT TOP OF MENU;,1900-2859,,,1900-04-18,Manhattan Hotel,,Dollars,$,complete,2,129
12484,"",BOSTON BOOT & SHOE CLUB,ANNUAL MEETING,COMMERCIAL,"BRUNSWICK HOTEL, BOSTON, MA",FOLDER; ILLUS; COL; 4.5X6.5;,"",PROGRAM & COMMITTEE LISTED; DECORATIVE WREATH & EMBLEMS; SILK RIBBON ATTACHMENT;,1900-2861,,,1900-04-18,Boston Boot & Shoe Club,,,,complete,6,24
12485,"",CANADIAN PACIFIC RAILWAY,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD R.M.S. EMPRESS OF CHINA,CARD; 4.5 X 7;,"",ITEMS ON MENU ARE NUMBERED; FLAG LOGO;,1900-2869,,,1900-04-19,Canadian Pacific Railway,,,,complete,2,36
12486,"",HOTEL SAVOY,DINNER,COMMERCIAL,NEW YORK,CARD; ILLUS; COL; 3.25 X 8.5;,"",FRENCH; ILLUSTRATION OF MAN AND WOMAN IN COLONIAL DRESS;,1900-2872,,,1900-04-19,Hotel Savoy,,,,complete,2,15
12487,"",PACIFIC MAIL STEAMSHIP CO.,LUNCH,COMMERCIAL,EN ROUTE ABOARD PANAMA LINE STEAMSHIP CITY OF PARA,FOLDER; 6 X 9;,"",MENU TYPED IN ENGLISH; ORNAMENTAL BORDER;,1900-2875,,,1900-04-19,Pacific Mail Steamship Co.,,,,complete,2,13
